fecha,volumen,peso medio,temperatura,kgpienso,tipo,info pienso,densidad,bajas,dosisporpezind,densidad biomasa,,
26/07/2017,30,"17,7","20,5","0,00",Mar-Perla MP-L,,4000,,0,"2,36","70,8",0
27/07/2017,30,"17,7","20,5","1,00",Mar-Perla MP-T,,4000,,"0,25","2,36","70,8","1,41242937853107"
28/07/2017,30,"17,7","20,5","1,00",Mar-Perla MP-T,,4000,,"0,25","2,36","70,8","1,41242937853107"
29/07/2017,30,"17,7","20,5","1,00",Mar-Perla MP-T,,4000,,"0,25","2,36","70,8","1,41242937853107"
30/07/2017,30,"17,7","20,5","1,00",Mar-Perla MP-T,,4000,,"0,25","2,36","70,8","1,41242937853107"
31/07/2017,30,"17,7","20,8","1,00",Mar-Perla MP-T,,4000,,"0,25","2,36","70,8","1,41242937853107"
01/08/2017,30,"17,7","20,5","0,00",Mar-Perla MP-T,,4000,,0,"2,36","70,8",0
02/08/2017,30,"17,7","20,5","4,00",Mar-Perla MP-T,,4000,,1,"2,36","70,8","5,64971751412429"
03/08/2017,30,"17,7","20,5","5,00",Mar-Perla MP-T,,4000,,"1,25","2,36","70,8","7,06214689265537"
04/08/2017,30,"17,7","20,5","5,00",Mar-Perla MP-T,,4000,,"1,25","2,36","70,8","7,06214689265537"
05/08/2017,30,"17,7","20,8","3,00",Mar-Perla MP-T,,4000,,"0,75","2,36","70,8","4,23728813559322"
06/08/2017,30,"17,7",21,"2,00",Mar-Perla MP-T,,4000,,"0,5","2,36","70,8","2,82485875706215"
07/08/2017,30,"17,7",21,"1,15",Mar-Perla MP-T,,4000,,"0,2875","2,36","70,8","1,62429378531073"
08/08/2017,30,"17,7","20,8","2,27",Mar-Perla MP-T,,4000,,"0,5675","2,36","70,8","3,20621468926554"
09/08/2017,30,"17,7",21,"0,06",Mar-Perla MP-T,,4000,,"0,015","2,36","70,8","0,084745762711864"
10/08/2017,30,"17,7","20,4","5,00",Mar-Perla MP-T,,4000,,"1,25","2,36","70,8","7,06214689265537"
11/08/2017,30,"17,7","20,5","3,00",Mar-Perla MP-T,,4000,,"0,75","2,36","70,8","4,23728813559322"
12/08/2017,30,"17,7","20,5","5,00",Mar-Perla MP-T,,4000,,"1,25","2,36","70,8","7,06214689265537"
13/08/2017,30,"17,7","20,5","5,00",Mar-Perla MP-T,,4000,,"1,25","2,36","70,8","7,06214689265537"
14/08/2017,30,"17,7","20,5","1,50",Mar-Perla MP-T,,4000,,"0,375","2,36","70,8","2,11864406779661"
15/08/2017,30,"17,7","20,5","5,05",Mar-Perla MP-T,,4000,,"1,2625","2,36","70,8","7,13276836158192"
16/08/2017,30,"17,7","21,2","2,03",Mar-Perla MP-T,,4000,,"0,5075","2,36","70,8","2,86723163841808"
17/08/2017,30,"17,7","20,9","2,39",Mar-Perla MP-T,,4000,,"0,5975","2,36","70,8","3,37570621468927"
18/08/2017,30,"17,7","20,6","3,24",Mar-Perla MP-T,,4000,,"0,81","2,36","70,8","4,57627118644068"
19/08/2017,30,"17,7","20,4","3,44",Mar-Perla MP-T,,4000,,"0,86","2,36","70,8","4,85875706214689"
20/08/2017,30,"17,7","20,5","1,48",Mar-Perla MP-T,,4000,,"0,37","2,36","70,8","2,09039548022599"
21/08/2017,30,"17,7","20,5","1,33",Mar-Perla MP-T,,4000,,"0,3325","2,36","70,8","1,87853107344633"
22/08/2017,30,"17,7","20,5","1,53",Mar-Perla MP-T,,4000,,"0,3825","2,36","70,8","2,16101694915254"
23/08/2017,30,"17,7","20,5","1,68",Mar-Perla MP-T,,4000,,"0,42","2,36","70,8","2,3728813559322"
24/08/2017,30,"17,7","20,5","1,74",Mar-Perla MP-T,,4000,,"0,435","2,36","70,8","2,45762711864407"
25/08/2017,30,"17,7","20,8","3,11",Intro Plus MT 1.9,,4000,,"0,7775","2,36","70,8","4,39265536723164"
26/08/2017,30,"17,7",21,"3,22",Intro Plus MT 1.9,,4000,,"0,805","2,36","70,8","4,54802259887006"
27/08/2017,30,"17,7",21,"3,22",Intro Plus MT 1.9,,4000,,"0,805","2,36","70,8","4,54802259887006"
28/08/2017,30,"17,7","20,5","3,31",Intro Plus MT 1.9,,4000,,"0,8275","2,36","70,8","4,67514124293785"
29/08/2017,30,"17,7","20,5","3,41",Intro Plus MT 1.9,,4000,,"0,8525","2,36","70,8","4,81638418079096"
