PESO	LONGITUD	VOL					
608,3	32	580					
622,9	31,4	580					
569,8	31,5	540					
570,1	31,2	580					
573,9	32,5	560					
612,9	32,5	580					
554,6	32,3	540					
579,6	32,5	560					
617,5	32,8	600					
587,8	32,3	560					
271,2	22,3	260					
293,3	26,6	280					
219,6	25,3	200					
245,1	25,3	240					
276,5	26,4	260					
292,9	26,5	280					
283,5	26,1	280					
234,6	25	220					
259,6	24,9	240					
267,1	25,4	260					
385,2	27,3	380					
370,7	29,2	360					
364,1	27	360					
376,8	27,9	360					
320,4	27,8	320					
374,9	28,3	360					
415,3	29,2	400					
392,5	28,7	380					
386,5	28,1	380					
355,5	27,2	340					
